Aston Villa U21,Aaron Ramsey,2021/2022
Norwich City,Max Aarons,2021/2022
Norwich City,Max Aarons,2019/2020
Chelsea,Abdul Rahman Baba,2021/2022
Chelsea,Abdul Rahman Baba,2019/2020
Chelsea,Abdul Rahman Baba,2017/2018
Chelsea,Abdul Rahman Baba,2016/2017
Chelsea,Abdul Rahman Baba,2015/2016
Chelsea,Tammy Abraham,2021/2022
Chelsea,Tammy Abraham,2020/2021
Aston Villa (Loan),Tammy Abraham,2019/2020
Chelsea,Tammy Abraham,2019/2020
Chelsea,Tammy Abraham,2018/2019
Swansea City (Loan),Tammy Abraham,2017/2018
Chelsea,Tammy Abraham,2016/2017
Chelsea,Tammy Abraham,2015/2016
Southampton,Adam Armstrong,2021/2022
Newcastle United,Adam Armstrong,2017/2018
Newcastle United,Adam Armstrong,2015/2016
Newcastle United,Adam Armstrong,2014/2015
Newcastle United,Adam Armstrong,2013/2014
Southampton,Che Adams,2021/2022
Southampton,Che Adams,2020/2021
Southampton,Che Adams,2019/2020
Crystal Palace U21,Omotayo Adaramola,2021/2022
Liverpool,Adrián,2021/2022
Liverpool,Adrián,2020/2021
Liverpool,Adrián,2019/2020
West Ham United,Adrián,2019/2020
West Ham United,Adrián,2018/2019
West Ham United,Adrián,2017/2018
West Ham United,Adrián,2016/2017
West Ham United,Adrián,2015/2016
West Ham United,Adrián,2014/2015
West Ham United,Adrián,2013/2014
Manchester City,Sergio Agüero,2021/2022
Manchester City,Sergio Agüero,2020/2021
Manchester City,Sergio Agüero,2019/2020
Manchester City,Sergio Agüero,2018/2019
Manchester City,Sergio Agüero,2017/2018
Manchester City,Sergio Agüero,2016/2017
Manchester City,Sergio Agüero,2015/2016
Manchester City,Sergio Agüero,2014/2015
Manchester City,Sergio Agüero,2013/2014
Manchester City,Sergio Agüero,2012/2013
Manchester City,Sergio Agüero,2011/2012
Watford,Derek Agyakwa,2021/2022
Aston Villa,Ahmed El Mohamady,2021/2022
Aston Villa,Ahmed El Mohamady,2020/2021
Aston Villa,Ahmed El Mohamady,2019/2020
Hull City,Ahmed El Mohamady,2016/2017
Hull City,Ahmed El Mohamady,2014/2015
Hull City,Ahmed El Mohamady,2013/2014
Sunderland,Ahmed El Mohamady,2012/2013
Sunderland,Ahmed El Mohamady,2011/2012
Sunderland (Loan),Ahmed El Mohamady,2010/2011
Wolverhampton Wanderers,Rayan Aït-Nouri,2021/2022
Wolverhampton Wanderers (Loan),Rayan Aït-Nouri,2021/2022
Wolverhampton Wanderers (Loan),Rayan Aït-Nouri,2020/2021
Brentford,Kristoffer Ajer,2021/2022
Manchester City,Nathan Aké,2021/2022
Manchester City,Nathan Aké,2020/2021
AFC Bournemouth,Nathan Aké,2019/2020
AFC Bournemouth,Nathan Aké,2018/2019
AFC Bournemouth,Nathan Aké,2017/2018
AFC Bournemouth (Loan),Nathan Aké,2016/2017
Chelsea,Nathan Aké,2016/2017
Watford (Loan),Nathan Aké,2015/2016
Chelsea,Nathan Aké,2015/2016
Chelsea,Nathan Aké,2014/2015
Chelsea,Nathan Aké,2013/2014
Chelsea,Nathan Aké,2012/2013
Leicester City,Marc Albrighton,2021/2022
Leicester City,Marc Albrighton,2020/2021
Leicester City,Marc Albrighton,2019/2020
Leicester City,Marc Albrighton,2018/2019
Leicester City,Marc Albrighton,2017/2018
Leicester City,Marc Albrighton,2016/2017
Leicester City,Marc Albrighton,2015/2016
Leicester City,Marc Albrighton,2014/2015
Aston Villa,Marc Albrighton,2013/2014
Aston Villa,Marc Albrighton,2012/2013
Aston Villa,Marc Albrighton,2011/2012
Aston Villa,Marc Albrighton,2010/2011
Aston Villa,Marc Albrighton,2009/2010
Aston Villa,Marc Albrighton,2008/2009
Tottenham Hotspur,Toby Alderweireld,2021/2022
Tottenham Hotspur,Toby Alderweireld,2020/2021
Tottenham Hotspur,Toby Alderweireld,2019/2020
Tottenham Hotspur,Toby Alderweireld,2018/2019
Tottenham Hotspur,Toby Alderweireld,2017/2018
Tottenham Hotspur,Toby Alderweireld,2016/2017
Tottenham Hotspur,Toby Alderweireld,2015/2016
Southampton (Loan),Toby Alderweireld,2014/2015
Arsenal,Ryan Alebiosu,2021/2022
Manchester United,Alejandro Garnacho,2021/2022
West Ham United,Ajibola Alese,2021/2022
West Ham United U21,Ajibola Alese,2020/2021
Manchester United,Alex Telles,2021/2022
Manchester United,Alex Telles,2020/2021
Liverpool,Trent Alexander-Arnold,2021/2022
Liverpool,Trent Alexander-Arnold,2020/2021
Liverpool,Trent Alexander-Arnold,2019/2020
Liverpool,Trent Alexander-Arnold,2018/2019
Liverpool,Trent Alexander-Arnold,2017/2018
Liverpool,Trent Alexander-Arnold,2016/2017
Liverpool,Trent Alexander-Arnold,2015/2016
Leeds United,Ezgjan Alioski,2021/2022
Leeds United,Ezgjan Alioski,2020/2021
Liverpool,Alisson,2021/2022
Liverpool,Alisson,2020/2021
Liverpool,Alisson,2019/2020
Liverpool,Alisson,2018/2019
Everton,Allan,2021/2022
Everton,Allan,2020/2021
Everton,Dele Alli,2021/2022
Tottenham Hotspur,Dele Alli,2021/2022
Tottenham Hotspur,Dele Alli,2020/2021
Tottenham Hotspur,Dele Alli,2019/2020
Tottenham Hotspur,Dele Alli,2018/2019
Tottenham Hotspur,Dele Alli,2017/2018
Tottenham Hotspur,Dele Alli,2016/2017
Tottenham Hotspur,Dele Alli,2015/2016
Tottenham Hotspur,Dele Alli,2014/2015
Newcastle United,Miguel Almirón,2021/2022
Newcastle United,Miguel Almirón,2020/2021
Newcastle United,Miguel Almirón,2019/2020
Newcastle United,Miguel Almirón,2018/2019
Chelsea,Marcos Alonso,2021/2022
Chelsea,Marcos Alonso,2020/2021
Chelsea,Marcos Alonso,2019/2020
Chelsea,Marcos Alonso,2018/2019
Chelsea,Marcos Alonso,2017/2018
Chelsea,Marcos Alonso,2016/2017
Sunderland (Loan),Marcos Alonso,2013/2014
Bolton Wanderers,Marcos Alonso,2011/2012
Bolton Wanderers,Marcos Alonso,2010/2011
Watford,Jaime Alvarado,2021/2022
Manchester City,Julián Álvarez,2021/2022
Leicester City,Will Alves,2021/2022
Brighton and Hove Albion,Steven Alzate,2021/2022
Brighton and Hove Albion,Steven Alzate,2020/2021
Leyton Orient,Steven Alzate,2019/2020
Leicester City,Daniel Amartey,2021/2022
Leicester City,Daniel Amartey,2020/2021
Leicester City,Daniel Amartey,2019/2020
Leicester City,Daniel Amartey,2018/2019
Leicester City,Daniel Amartey,2017/2018
Leicester City,Daniel Amartey,2016/2017
Leicester City,Daniel Amartey,2015/2016
Chelsea,Ethan Ampadu,2021/2022
Sheffield United (Loan),Ethan Ampadu,2020/2021
Chelsea,Ethan Ampadu,2020/2021
Chelsea,Ethan Ampadu,2019/2020
Chelsea,Ethan Ampadu,2018/2019
Chelsea,Ethan Ampadu,2017/2018
Crystal Palace,Joachim Andersen,2021/2022
Fulham (Loan),Joachim Andersen,2020/2021
Everton,Joseph Anderson,2021/2022
Brighton and Hove Albion,Florin Andone,2021/2022
Brighton and Hove Albion,Florin Andone,2020/2021
Brighton and Hove Albion,Florin Andone,2019/2020
Brighton and Hove Albion,Florin Andone,2018/2019
Everton,André Gomes,2021/2022
Everton,André Gomes,2020/2021
Everton,André Gomes,2019/2020
Everton (Loan),André Gomes,2019/2020
Everton (Loan),André Gomes,2018/2019
Manchester United,Andreas Pereira,2021/2022
Manchester United,Andreas Pereira,2020/2021
Manchester United,Andreas Pereira,2019/2020
Manchester United,Andreas Pereira,2018/2019
Manchester United,Andreas Pereira,2017/2018
Manchester United,Andreas Pereira,2016/2017
Manchester United,Andreas Pereira,2015/2016
Manchester United,Andreas Pereira,2014/2015
Watford,Vincent Angelini,2021/2022
Manchester City,Angeliño,2021/2022
Manchester City,Angeliño,2019/2020
Manchester City,Angeliño,2016/2017
Manchester City,Angeliño,2015/2016
Manchester City,Angeliño,2014/2015
Chelsea,Faustino Anjorin,2021/2022
Chelsea,Faustino Anjorin,2020/2021
Chelsea,Faustino Anjorin,2019/2020
West Ham United,Michail Antonio,2021/2022
West Ham United,Michail Antonio,2020/2021
West Ham United,Michail Antonio,2019/2020
West Ham United,Michail Antonio,2018/2019
West Ham United,Michail Antonio,2017/2018
West Ham United,Michail Antonio,2016/2017
